env,method,tier,kind,severity,source_path,curated_path,filename
humanoid,baseline_off,nominal,push,0.0,videos/humanoid_rich/humanoid/seed0/eval/default/baseline_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/baseline_off/nominal.mp4,push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,baseline_off,moderate,push,0.6,videos/humanoid_rich/humanoid/seed0/eval/default/baseline_off/videos/cortex_residual_seed0/push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/baseline_off/moderate.mp4,push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,baseline_off,severe,push,3.0,videos/humanoid_rich/humanoid/seed0/eval/default/baseline_off/videos/cortex_residual_seed0/push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/baseline_off/severe.mp4,push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,imitation_off,nominal,push,0.0,videos/humanoid_rich/humanoid/seed0/eval/default/imitation_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/imitation_off/nominal.mp4,push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,imitation_off,moderate,push,0.6,videos/humanoid_rich/humanoid/seed0/eval/default/imitation_off/videos/cortex_residual_seed0/push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/imitation_off/moderate.mp4,push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,imitation_off,severe,push,3.0,videos/humanoid_rich/humanoid/seed0/eval/default/imitation_off/videos/cortex_residual_seed0/push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/imitation_off/severe.mp4,push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,imitation_on,nominal,push,0.0,videos/humanoid_rich/humanoid/seed0/eval/default/imitation_on/videos/cortex_residual_seed0/push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/imitation_on/nominal.mp4,push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,imitation_on,moderate,push,0.6,videos/humanoid_rich/humanoid/seed0/eval/default/imitation_on/videos/cortex_residual_seed0/push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/imitation_on/moderate.mp4,push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,imitation_on,severe,push,3.0,videos/humanoid_rich/humanoid/seed0/eval/default/imitation_on/videos/cortex_residual_seed0/push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/imitation_on/severe.mp4,push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,consolidated_off,nominal,push,0.0,videos/humanoid_rich/humanoid/seed0/eval/default/consolidated_off/videos/cortex_residual_seed0/push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/consolidated_off/nominal.mp4,push_sev0p000_push0p000_d1_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,consolidated_off,moderate,push,0.6,videos/humanoid_rich/humanoid/seed0/eval/default/consolidated_off/videos/cortex_residual_seed0/push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/consolidated_off/moderate.mp4,push_sev0p600_push0p200_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
humanoid,consolidated_off,severe,push,3.0,videos/humanoid_rich/humanoid/seed0/eval/default/consolidated_off/videos/cortex_residual_seed0/push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4,videos/humanoid_rich/curated/humanoid/consolidated_off/severe.mp4,push_sev3p000_push1p000_d3_slip0p000_w1p000_sd0_sb0p000_ep00.mp4
